Start,Duration
11/03/2021 18:20,5
11/03/2021 19:45,48
12/03/2021 22:47,48
12/03/2021 23:39,26
13/03/2021 11:57,61
13/03/2021 13:34,18
13/03/2021 16:15,21
13/03/2021 18:05,4
13/03/2021 21:10,13
13/03/2021 22:40,49
14/03/2021 10:18,10
14/03/2021 14:55,12
14/03/2021 15:12,132
14/03/2021 18:35,55
14/03/2021 20:01,29
15/03/2021 15:38,6
15/03/2021 17:45,13
15/03/2021 20:32,62
15/03/2021 23:02,74
16/03/2021 14:19,9
16/03/2021 17:18,7
16/03/2021 18:47,16
16/03/2021 21:44,67
17/03/2021 09:15,7
17/03/2021 17:02,6
18/03/2021 09:05,18
18/03/2021 13:31,12
18/03/2021 18:30,16
18/03/2021 19:32,19
18/03/2021 20:32,51
19/03/2021 14:02,13
19/03/2021 16:27,19
19/03/2021 17:04,114
19/03/2021 19:23,40
19/03/2021 20:42,13
19/03/2021 22:01,20
20/03/2021 11:21,31
20/03/2021 19:30,33
20/03/2021 20:43,22
21/03/2021 11:25,165
21/03/2021 14:20,116
21/03/2021 17:40,74
21/03/2021 22:01,6
22/03/2021 17:03,8
22/03/2021 20:08,119
23/03/2021 09:53,12
23/03/2021 17:16,16
23/03/2021 22:11,133
24/03/2021 15:41,9
24/03/2021 16:19,6
24/03/2021 17:12,94
24/03/2021 21:01,8
25/03/2021 08:33,8
25/03/2021 12:08,12
26/03/2021 12:57,35
26/03/2021 17:08,92
26/03/2021 20:51,21
26/03/2021 21:58,20
27/03/2021 09:31,13
27/03/2021 11:01,145
27/03/2021 13:52,6
27/03/2021 19:01,48
28/03/2021 16:53,92
29/03/2021 10:02,10
30/03/2021 10:07,6
30/03/2021 12:34,8
30/03/2021 13:23,5
30/03/2021 20:44,5
01/04/2021 15:51,9
01/04/2021 17:31,35
01/04/2021 19:10,57
02/04/2021 09:31,16
02/04/2021 10:42,61
02/04/2021 19:32,30
03/04/2021 12:02,61
03/04/2021 14:16,108
03/04/2021 16:28,34
03/04/2021 20:30,8
04/04/2021 10:34,166
04/04/2021 14:17,86
04/04/2021 17:25,51
04/04/2021 18:30,72
04/04/2021 21:11,12
05/04/2021 10:43,160
05/04/2021 13:52,9
05/04/2021 14:51,51
05/04/2021 15:52,48
05/04/2021 18:04,31
06/04/2021 09:34,3
06/04/2021 10:21,15
06/04/2021 15:11,11
06/04/2021 19:03,39
07/04/2021 00:02,31
07/04/2021 10:15,13
08/04/2021 11:10,16
08/04/2021 12:39,32
08/04/2021 15:50,3
09/04/2021 15:36,48
09/04/2021 18:14,7
09/04/2021 19:34,83
09/04/2021 21:08,23
10/04/2021 13:29,113
11/04/2021 14:19,7
11/04/2021 14:41,9
11/04/2021 17:03,60
11/04/2021 18:08,7
11/04/2021 23:24,8
12/04/2021 09:30,9
12/04/2021 13:55,19
12/04/2021 14:47,84
12/04/2021 17:21,121
12/04/2021 19:37,46
12/04/2021 21:40,8
13/04/2021 10:48,6
13/04/2021 21:40,72
13/04/2021 23:50,61
14/04/2021 15:16,16
14/04/2021 19:00,63
14/04/2021 21:25,9
15/04/2021 10:52,16
15/04/2021 17:02,128
16/04/2021 13:43,14
16/04/2021 15:52,45
16/04/2021 20:32,15
17/04/2021 12:52,13
17/04/2021 13:31,58
17/04/2021 17:18,5
17/04/2021 20:25,33
18/04/2021 11:57,86
18/04/2021 13:58,9
18/04/2021 19:40,13
18/04/2021 22:18,20
19/04/2021 09:38,9
19/04/2021 14:25,68
19/04/2021 21:09,12
20/04/2021 13:25,23
20/04/2021 17:54,163
20/04/2021 22:11,75
21/04/2021 10:02,39
21/04/2021 13:31,8
21/04/2021 16:54,133
